1 2184 78660 216
2 8673 75328 105
3 2 62150 92
4 28 63394 17
5 807 45101 25
6 1 94298 3
7 3599684 4969 78
8 1 15038 201
9 2592 17775 117
10 26 58244 42
11 20586 39343 207
12 1 18943 265
13 137 83292 463
14 1 27219 259
15 4 26730 241
16 4 71187 49
17 389 69580 129
18 7 74319 38
19 33 5255 541
20 1 78798 750
21 1044 16439 220
22 3243466 61036 65
23 10 4682 124
24 4 87180 77
25 436 8998 209
26 1 50399 236
27 1 19922 18
28 32 31207 213
29 6 8388 82
30 84 89486 54
31 41 12762 127
32 1 81237 15
33 3091 90970 144
34 49 69657 321
35 9 89427 241
37 150 54016 63
38 1083707760 47889 82
39 1 86091 447
40 16 66749 131
41 2400 89998 351
42 215 1678 320
43 61 72353 253
44 10 28830 118
45 41975965 85375 33
46 3 48379 85
47 2 75031 82
48 88438 62192 8
49 2 92857 265
50 37 29843 350
51 3942 34740 425
52 1 46089 13
53 1336 90705 243
54 1 46668 259
55 4 43686 30
56 153 9212 202
57 3 76395 245
58 2 81090 37
59 12470945 30259 289
60 19 19613 346
61 13 12270 230
62 2 66264 145
63 1 52763 61
64 88976 95784 295
65 122 36432 154
66 1 8162 266
67 72 93321 174
68 21 31723 60
69 20 47587 251
70 3 79745 61
71 236 387 80
72 515 67022 77
73 34 28421 186
74 1 27885 201
75 11 50737 455
76 1041 41137 165
77 1 50923 174
79 12 58961 41
80 2 41366 389
81 470 30229 268
82 71 67793 126
83 9061203 82926 143
84 1 7398 161
85 1 66831 308
86 7 82023 149
87 25 81195 233
88 27 6372 217
89 1759537 10354 237
90 1 73430 124
91 1 53518 287
92 1 12455 96
93 2 38019 248
94 13 58306 320
95 1 22370 38
96 7347 37018 176
97 21 52207 494
98 48 37472 152
99 1 35263 154
100 39 32644 176
101 1 60965 423
102 2 38177 130
103 1 21448 37
104 28 46248 111
105 59971156 17737 164
106 14220 1414 132
107 2 22165 194
108 1 54070 196
109 7 84512 344
110 5 32864 192
111 72 19354 125
112 594667 61179 38
113 1485 78813 122
114 9 33036 140
115 1175 95535 191
116 1 38946 208
117 1 11453 73
118 71 95976 61
119 1 77780 34
120 1 33800 0
121 112 6960 971
122 64450 43228 492
123 2 55368 428
124 105649 86611 271
125 1 39960 17
126 35 85979 168
127 906729377 88348 132
128 18 42240 48
129 4 83093 131
130 1 33756 140
131 218503 44269 319
132 1 62475 262
133 4921 11873 133
134 13 76567 360
135 2 69651 105
136 1119 54038 116
137 119 98273 235
138 9 24066 160
139 1 36545 47
140 1 48965 285
141 1 9106 137
142 24 50877 534
143 506 38852 324
144 4 91917 95
145 1 16627 216
146 1363 12652 155
147 3 69845 147
148 3 86257 10
149 5807659 59713 290
150 503964 16919 329
151 1 36376 199
152 1 42145 359
153 1598 17550 9
154 26 86596 309
155 18 96171 51
156 1 43466 273
157 2 83002 97
158 3263 70369 42
159 1 1453 42
160 612 65009 21
161 106 38943 111
